"id","period","player_appearance_id","body_part","technique","play_pattern","own_goal_player_appearance_id","block_player_appearance_id","minute","possession","stage","under_pressure"
143,"half_1",39442,"right_foot","normal","regular_play","NULL","NULL",11,2285,"top",FALSE
144,"half_1",39442,"right_foot","normal","counter_attack","NULL","39422",31,2285,"top",TRUE
145,"half_1",39440,"head","normal","regular_play","NULL","NULL",16,2285,"top",TRUE
146,"half_2",39440,"head","lob","corner_kick","NULL","NULL",45,2285,"top",TRUE
147,"half_1",39438,"right_foot","normal","regular_play","NULL","NULL",16,2285,"top",TRUE
148,"half_1",39444,"left_foot","volley","regular_play","NULL","NULL",18,2285,"top",TRUE
149,"half_1",39443,"right_foot","normal","regular_play","NULL","NULL",23,2285,"top",TRUE
150,"half_1",39433,"left_foot","normal","regular_play","NULL","NULL",25,2284,"top",TRUE
151,"half_1",39433,"right_foot","volley","regular_play","NULL","NULL",30,2284,"top",TRUE
152,"half_2",39433,"right_foot","normal","regular_play","NULL","39440",24,2284,"top",TRUE
153,"half_1",39435,"left_foot","volley","regular_play","NULL","NULL",30,2284,"top",FALSE
154,"half_2",39435,"right_foot","normal","counter_attack","NULL","NULL",3,2284,"top",TRUE
155,"half_1",39445,"right_foot","normal","regular_play","NULL","NULL",31,2285,"top",TRUE
156,"half_1",39436,"right_foot","normal","regular_play","NULL","NULL",33,2284,"top",TRUE
157,"half_1",39426,"left_foot","normal","regular_play","NULL","NULL",43,2284,"top",TRUE
1699,"half_1",42292,"right_foot","normal","regular_play","NULL","42310",1,2416,"top",TRUE
159,"half_2",39451,"right_foot","normal","counter_attack","NULL","NULL",22,2285,"top",TRUE
160,"half_2",39451,"right_foot","normal","counter_attack","NULL","NULL",39,2285,"top",TRUE
161,"half_2",39441,"right_foot","volley","throw_in","NULL","NULL",23,2285,"top",TRUE
162,"half_2",39441,"right_foot","normal","regular_play","NULL","NULL",40,2285,"top",TRUE
163,"half_2",39450,"head","other","regular_play","NULL","NULL",25,2285,"top",TRUE
164,"half_2",39439,"head","other","corner_kick","NULL","NULL",37,2285,"top",TRUE
165,"half_1",39484,"head","normal","indirect_free_kick","NULL","NULL",7,2287,"top",TRUE
166,"half_1",39477,"right_foot","normal","regular_play","NULL","39485",9,2286,"top",TRUE
167,"half_1",39477,"left_foot","normal","regular_play","NULL","NULL",26,2286,"top",TRUE
168,"half_2",39477,"left_foot","normal","regular_play","NULL","NULL",21,2286,"top",TRUE
169,"half_1",39480,"right_foot","normal","regular_play","NULL","NULL",11,2286,"top",TRUE
