Variable,PC1,PC2,PC3
minute_in,0.09459099237860463,0.26595298226040376,0.4525118713096995
minute_out,0.28744504318995934,0.3006937741025824,0.6765029977341984
subbed,-0.3826839047942825,-0.28884313656002214,-0.6905655622489634
last15_sprints,-0.6487391791533432,-0.12739438771782252,0.02796804143340197
last15_hsr,-0.6883090492584012,-0.16784893089342762,-0.07416201192214594
last15_distance,-0.31650894506622423,-0.6685893761240409,0.47927980807103626
last15_mean_max_speed,-0.7980997614939298,0.37645848103045404,0.06679119383126284
last15_peak_speed,-0.8489236335876511,0.31991062823346317,0.05327906996905003
cumul_sprints,-0.684486805586391,-0.2284196752403883,0.017039574434957478
cumul_hsr,-0.6499297487228786,-0.2374701571173391,-0.03359481336246906
cumul_distance,-0.32644028581728984,-0.7016016964778292,0.4762755028775386
cumul_mean_max_speed,-0.6947038547317939,0.45740001635113947,0.09801791861014965
cumul_peak_speed,-0.7975485974899521,0.3533942115512243,0.08877383738139699
