Features,Model,Correction,ROC-AUC,PR-AUC,Prec,Recall,TP,FP,FN,TN
Full,BB_,Balanced Bagging,0.6698001317812431,0.0551941087843094,0.04743083003952569,0.41379310344827586,12,241,17,544
Full,Pipeline,SMOTE-Tomek,0.6499011640676478,0.060286147809736124,0.03333333333333333,0.1724137931034483,5,145,24,640
Full,BB_,Balanced Bagging,0.6358884252141446,0.060730173886435895,0.05,0.3448275862068966,10,190,19,595
Full,Pipeline,SMOTE-Tomek,0.653239622227103,0.07277720240813904,0.09375,0.10344827586206896,3,29,26,756
Full,BB_,Balanced Bagging,0.6850867559850649,0.0609810358842416,0.07352941176470588,0.5172413793103449,15,189,14,596
Full,Pipeline,SMOTE-Tomek,0.6611904238963321,0.06646024916684008,0.08333333333333333,0.10344827586206896,3,33,26,752
Full,BB_,Balanced Bagging,0.6955853283549307,0.06139280427491719,0.06060606060606061,0.41379310344827586,12,186,17,599
Full,Pipeline,SMOTE-Tomek,0.7194816604436636,0.08300408647418947,0.09090909090909091,0.10344827586206896,3,30,26,755
Full,BB_,Balanced Bagging,0.6773116626400175,0.06496286340210077,0.06701030927835051,0.4482758620689655,13,181,16,604
Full,Pipeline,SMOTE-Tomek,0.6426092686141005,0.10136902493826742,0.09375,0.10344827586206896,3,29,26,756
Simp,BB_,Balanced Bagging,0.6877223808477926,0.0657851505722572,0.05485232067510549,0.4482758620689655,13,224,16,561
Simp,Pipeline,SMOTE-Tomek,0.5842741049857237,0.04468296203854548,0.04,0.3793103448275862,11,264,18,521
Simp,BB_,Balanced Bagging,0.6607950801669229,0.06407641168946711,0.06341463414634146,0.4482758620689655,13,192,16,593
Simp,Pipeline,SMOTE-Tomek,0.584493740390951,0.052186164667677726,0.04672897196261682,0.1724137931034483,5,102,24,683
Simp,BB_,Balanced Bagging,0.6760377772896992,0.07798844786249946,0.06403940886699508,0.4482758620689655,13,190,16,595
Simp,Pipeline,SMOTE-Tomek,0.6114649681528662,0.058886375652330195,0.08,0.27586206896551724,8,92,21,693
Simp,BB_,Balanced Bagging,0.6959367450032945,0.06689987294165514,0.06666666666666667,0.4482758620689655,13,182,16,603
Simp,Pipeline,SMOTE-Tomek,0.634131341972326,0.0659136604985381,0.0989010989010989,0.3103448275862069,9,82,20,703
Simp,BB_,Balanced Bagging,0.6836371623105645,0.08216924008923268,0.07216494845360824,0.4827586206896552,14,180,15,605
Simp,Pipeline,SMOTE-Tomek,0.6252141445200967,0.07637127649015704,0.09302325581395349,0.27586206896551724,8,78,21,707
