feature,importance
jersey_number,0.75464743
cumul_peak_speed,0.4372897
last15_distance,0.360951
minute_out,0.35024592
last15_mean_max_speed,0.32214975
cumul_mean_max_speed,0.28956679
cumul_hsr,0.28450626
cumul_distance,0.25860414
formation_3-4-3,0.2051897
position_D,0.20038886
formation_4-3-3,0.16924664
cumul_sprints,0.15788597
position_M,0.15687473
last15_peak_speed,0.13277829
is_home,0.12586604
last15_hsr,0.08321625
position_G,0.07716547
subbed,0.06973064
formation_4-4-2,0.06452546
formation_4-2-3-1,0.049365286
cumul_shots_under_press,0.036182344
minute_in,0.024511065
formation_5-2-3,0.024163207
cumul_shots,0.022771401
cumul_shots_on_target,0.016099855
formation_4-1-4-1,0.015424668
last15_sprints,0.014110642
formation_4-2-4,0.013655446
last15_shots,0.009110835
last15_shots_under_press,0.008840175
last15_shots_on_target,0.006956775
cumul_shots_top_third,0.004172661
last15_shots_top_third,0.0030002755
formation_4-1-3-2,0.0
formation_5-4-1,0.0
